date,sector,label,eu_avg,eu_n,us_avg,us_n,bvb_manual,blended_raw,discount,final_multiple
2026-09-11,saas,SaaS,18.19,2,39.92,3,,29.06,0.25,21.79
2026-09-11,it_services,IT Services,10.2,5,11.27,1,,10.41,0.25,7.81
2026-09-11,manufacturing,Manufacturing,10.67,4,10.96,1,,10.73,0.25,8.05
2026-09-11,healthcare_services,Healthcare Services,,0,14.35,2,,14.35,0.25,10.77
2026-09-11,logistics,Logistics,7.82,4,11.44,1,,8.54,0.25,6.41
2026-09-11,ecommerce,E-commerce,32.6,2,,0,,32.6,0.25,24.45
2026-09-11,telecom,Telecom,10.29,4,12.61,1,,10.75,0.25,8.06
2026-09-11,saas,SaaS,18.19,2,39.92,3,,29.06,0.25,21.79
2026-09-11,it_services,IT Services,10.2,5,11.27,1,,10.41,0.25,7.81
2026-09-11,manufacturing,Manufacturing,10.67,4,10.96,1,,10.73,0.25,8.05
2026-09-11,healthcare_services,Healthcare Services,,0,14.35,2,,14.35,0.25,10.77
2026-09-11,logistics,Logistics,7.82,4,11.44,1,,8.54,0.25,6.41
2026-09-11,ecommerce,E-commerce,32.6,2,,0,,32.6,0.25,24.45
2026-09-11,telecom,Telecom,10.29,4,12.61,1,,10.75,0.25,8.06
2026-09-11,saas,SaaS,18.19,2,39.92,3,,29.06,0.25,21.79
2026-09-11,it_services,IT Services,10.2,5,12.34,2,,10.62,0.25,7.97
2026-09-11,manufacturing,Manufacturing,10.07,5,10.96,1,,10.25,0.25,7.69
2026-09-11,healthcare_services,Healthcare Services,,0,13.11,3,,13.11,0.25,9.83
2026-09-11,logistics,Logistics,7.86,5,11.44,1,,8.57,0.25,6.43
2026-09-11,ecommerce,E-commerce,26.57,3,,0,,26.57,0.25,19.93
2026-09-11,telecom,Telecom,10.29,4,12.61,1,,10.75,0.25,8.06
2026-09-11,saas,SaaS,18.19,2,39.92,3,,29.06,0.25,21.79
2026-09-11,it_services,IT Services,10.2,5,12.34,2,,10.62,0.25,7.97
2026-09-11,manufacturing,Manufacturing,10.07,5,10.96,1,,10.25,0.25,7.69
2026-09-11,healthcare_services,Healthcare Services,11.85,1,13.11,3,,12.48,0.25,9.36
2026-09-11,logistics,Logistics,7.86,5,11.44,1,,8.57,0.25,6.43
2026-09-11,ecommerce,E-commerce,26.57,3,18.11,1,,24.88,0.25,18.66
2026-09-11,telecom,Telecom,10.29,4,12.61,1,,10.75,0.25,8.06
2026-09-11,saas,SaaS,18.19,2,39.92,3,,29.06,0.25,21.79
2026-09-11,it_services,IT Services,10.2,5,12.34,2,,10.62,0.25,7.97
2026-09-11,manufacturing,Manufacturing,12.08,4,10.96,1,,11.86,0.25,8.9
2026-09-11,healthcare_services,Healthcare Services,11.85,1,13.11,3,,12.48,0.25,9.36
2026-09-11,logistics,Logistics,11.5,4,11.44,1,,11.49,0.25,8.62
2026-09-11,ecommerce,E-commerce,26.57,3,18.11,1,,24.88,0.25,18.66
2026-09-11,telecom,Telecom,10.29,4,12.61,1,,10.75,0.25,8.06
